,Unnamed: 0,city,neighborhood,redfin_lat,redfin_lng,month,sale_price,homes_sold,new_listings,days_on_market,index,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,capacity,divvy_lat,divvy_lng,name,count
46,17,"Chicago, IL ",Bucktown,41.922706700000006,-87.68027479999998,Aug-19,590.0,103,112,57,573,1576798228,4,0,19,0,0,628,23,41.914609999999996,-87.667968,Walsh Park,6
47,23,"Chicago, IL ",Douglas,41.8347323,-87.6206132,Aug-19,199.0,39,67,55,134,1576793560,3,0,8,0,0,149,11,41.8349,-87.61793,Calumet Ave & 33rd St,4
48,23,"Chicago, IL ",Douglas,41.8347323,-87.6206132,Aug-19,199.0,39,67,55,135,1576795301,5,0,22,0,0,150,27,41.838556,-87.60821800000001,Fort Dearborn Dr & 31st St,4
49,23,"Chicago, IL ",Douglas,41.8347323,-87.6206132,Aug-19,199.0,39,67,55,162,1576804188,9,0,6,0,0,179,15,41.8246,-87.61678,MLK Jr Dr & Pershing Rd,4
50,23,"Chicago, IL ",Douglas,41.8347323,-87.6206132,Aug-19,199.0,39,67,55,216,1576802460,7,0,12,0,0,237,19,41.842052,-87.617,MLK Jr Dr & 29th St,4
51,27,"Chicago, IL ",Edgewater,41.983685200000004,-87.66011410000002,Aug-19,240.0,278,293,58,417,1576758890,9,0,14,0,0,454,23,41.99477969,-87.66028453,Broadway & Granville Ave,2
52,27,"Chicago, IL ",Edgewater,41.983685200000004,-87.66011410000002,Aug-19,240.0,278,293,58,422,1576793597,9,0,10,0,0,459,19,41.984036700000004,-87.65231047,Lakefront Trail & Bryn Mawr Ave,2
53,30,"Chicago, IL ",Englewood,41.775304999999996,-87.64164190000002,Aug-19,68.0,40,87,58,353,1576738688,3,0,8,0,0,386,11,41.79292965,-87.64499006,Halsted St & 56th St,9
54,30,"Chicago, IL ",Englewood,41.775304999999996,-87.64164190000002,Aug-19,68.0,40,87,58,354,1576666762,4,0,7,0,0,388,11,41.77938114,-87.64462081,Halsted St & 63rd St,9
55,30,"Chicago, IL ",Englewood,41.775304999999996,-87.64164190000002,Aug-19,68.0,40,87,58,355,1576714768,2,0,9,0,0,390,11,41.78007963,-87.62974631,Wentworth Ave & 63rd St,9
56,30,"Chicago, IL ",Englewood,41.775304999999996,-87.64164190000002,Aug-19,68.0,40,87,58,520,1576666643,3,0,8,0,0,562,11,41.783189,-87.654372,Racine Ave & 61st St,9
57,30,"Chicago, IL ",Englewood,41.775304999999996,-87.64164190000002,Aug-19,68.0,40,87,58,522,1576753119,4,0,7,0,0,564,11,41.775393,-87.654308,Racine Ave & 65th St,9
58,30,"Chicago, IL ",Englewood,41.775304999999996,-87.64164190000002,Aug-19,68.0,40,87,58,525,1576753042,6,0,5,0,0,567,11,41.768938,-87.652934,May St & 69th St,9
59,30,"Chicago, IL ",Englewood,41.775304999999996,-87.64164190000002,Aug-19,68.0,40,87,58,590,1575953921,4,0,3,0,0,648,7,41.77987,-87.65091899999999,Carpenter St & 63rd St,9
60,30,"Chicago, IL ",Englewood,41.775304999999996,-87.64164190000002,Aug-19,68.0,40,87,58,591,1576558733,7,0,5,0,0,649,12,41.779835,-87.634774,Stewart Ave & 63rd St (*),9
61,30,"Chicago, IL ",Englewood,41.775304999999996,-87.64164190000002,Aug-19,68.0,40,87,58,592,1576731428,5,0,7,0,0,650,12,41.768898,-87.635876,Eggleston Ave & 69th St (*),9
62,31,"Chicago, IL ",Fuller Park,41.8090919,-87.6333765,Aug-19,90.0,8,18,46,352,1576764062,8,0,3,0,0,385,11,41.794982,-87.633124,Princeton Ave & Garfield Blvd,2
63,31,"Chicago, IL ",Fuller Park,41.8090919,-87.6333765,Aug-19,90.0,8,18,46,372,1576697105,6,0,5,0,0,409,11,41.81620768,-87.63481935,Shields Ave & 43rd St,2
64,35,"Chicago, IL ",Gold Coast,41.9066994,-87.6253308,Aug-19,407.0,92,164,83,155,1576800757,2,1,8,0,0,172,11,41.902308700000006,-87.62769053,Rush St & Cedar St,3
65,35,"Chicago, IL ",Gold Coast,41.9066994,-87.6253308,Aug-19,407.0,92,164,83,163,1576801950,4,0,11,0,0,180,15,41.906866,-87.62621700000001,Ritchie Ct & Banks St,3
66,35,"Chicago, IL ",Gold Coast,41.9066994,-87.6253308,Aug-19,407.0,92,164,83,278,1576802958,9,0,10,0,0,301,19,41.907993,-87.631501,Clark St & Schiller St,3
67,36,"Chicago, IL ",Goose Island,41.903563399999996,-87.65409240000002,Aug-19,433.0,23,29,71,16,1576804575,7,0,8,0,0,20,15,41.910522,-87.65310600000001,Sheffield Ave & Kingsbury St,5
68,36,"Chicago, IL ",Goose Island,41.903563399999996,-87.65409240000002,Aug-19,433.0,23,29,71,308,1576803126,18,0,9,0,0,331,27,41.909667999999996,-87.648128,Halsted St & Clybourn Ave,5
69,36,"Chicago, IL ",Goose Island,41.903563399999996,-87.65409240000002,Aug-19,433.0,23,29,71,334,1576801837,11,0,12,0,0,359,23,41.90348607,-87.64335349,Larrabee St & Division St,5
70,36,"Chicago, IL ",Goose Island,41.903563399999996,-87.65409240000002,Aug-19,433.0,23,29,71,336,1576800431,3,0,12,0,0,365,15,41.89936844,-87.64847988,Halsted St & North Branch St,5
71,36,"Chicago, IL ",Goose Island,41.903563399999996,-87.65409240000002,Aug-19,433.0,23,29,71,608,1576769123,9,0,6,0,0,666,15,41.907221,-87.655618,Cherry Ave & Blackhawk St,5
72,38,"Chicago, IL ",Grand Crossing,41.7657032,-87.61525069999998,Aug-19,142.0,28,44,71,247,1576666520,3,0,8,0,0,270,11,41.75866967,-87.58688287,Stony Island Ave & 75th St,4
73,38,"Chicago, IL ",Grand Crossing,41.7657032,-87.61525069999998,Aug-19,142.0,28,44,71,534,1576801207,4,0,7,0,0,576,11,41.751294,-87.59755200000001,Greenwood Ave & 79th St,4
74,38,"Chicago, IL ",Grand Crossing,41.7657032,-87.61525069999998,Aug-19,142.0,28,44,71,541,1576752942,4,0,7,0,0,583,11,41.746559000000005,-87.586005,Stony Island Ave & 82nd St,4
75,38,"Chicago, IL ",Grand Crossing,41.7657032,-87.61525069999998,Aug-19,142.0,28,44,71,543,1576753036,4,0,7,0,0,585,11,41.743441,-87.60483599999999,Cottage Grove Ave & 83rd St,4
76,39,"Chicago, IL ",Greater Grand Crossing,41.7657032,-87.61525069999998,Aug-19,133.0,64,104,94,357,1576752948,4,0,7,0,0,392,11,41.76929309,-87.62819593,Perry Ave & 69th St,11
77,39,"Chicago, IL ",Greater Grand Crossing,41.7657032,-87.61525069999998,Aug-19,133.0,64,104,94,358,1576752388,6,0,5,0,0,393,11,41.76550801,-87.61691793,Calumet Ave & 71st St,11
78,39,"Chicago, IL ",Greater Grand Crossing,41.7657032,-87.61525069999998,Aug-19,133.0,64,104,94,364,1576752417,4,0,7,0,0,400,11,41.76571904,-87.60495971,Cottage Grove Ave & 71st St,11
79,39,"Chicago, IL ",Greater Grand Crossing,41.7657032,-87.61525069999998,Aug-19,133.0,64,104,94,393,1576753074,4,0,7,0,0,430,11,41.78008064,-87.61594286,MLK Jr Dr & 63rd St,11
80,39,"Chicago, IL ",Greater Grand Crossing,41.7657032,-87.61525069999998,Aug-19,133.0,64,104,94,526,1576752955,3,0,4,0,0,568,7,41.75797,-87.63121,Vincennes Ave & 75th St,11
81,39,"Chicago, IL ",Greater Grand Crossing,41.7657032,-87.61525069999998,Aug-19,133.0,64,104,94,527,1576752608,5,0,6,0,0,569,11,41.759159999999994,-87.595751,Woodlawn Ave & 75th St,11
82,39,"Chicago, IL ",Greater Grand Crossing,41.7657032,-87.61525069999998,Aug-19,133.0,64,104,94,529,1576666607,3,0,8,0,0,571,11,41.758361,-87.614138,Vernon Ave & 75th St,11
83,39,"Chicago, IL ",Greater Grand Crossing,41.7657032,-87.61525069999998,Aug-19,133.0,64,104,94,530,1576752928,3,0,8,0,0,572,11,41.756971,-87.62462099999999,State St & 76th St,11
84,39,"Chicago, IL ",Greater Grand Crossing,41.7657032,-87.61525069999998,Aug-19,133.0,64,104,94,533,1576752741,4,0,7,0,0,575,11,41.753174,-87.605026,Cottage Grove Ave & 78th St,11
85,39,"Chicago, IL ",Greater Grand Crossing,41.7657032,-87.61525069999998,Aug-19,133.0,64,104,94,593,1575953867,1,0,6,0,0,651,7,41.765285999999996,-87.621748,Michigan Ave & 71st St,11
86,39,"Chicago, IL ",Greater Grand Crossing,41.7657032,-87.61525069999998,Aug-19,133.0,64,104,94,594,1576753109,5,0,6,0,0,652,11,41.766000000000005,-87.611726,Rhodes Ave & 71st St,11
87,43,"Chicago, IL ",Humboldt Park,41.89907520000001,-87.721293,Aug-19,370.0,211,277,57,342,1576752713,5,0,6,0,0,373,11,41.8954653,-87.70612788,Kedzie Ave & Chicago Ave,4
88,43,"Chicago, IL ",Humboldt Park,41.89907520000001,-87.721293,Aug-19,370.0,211,277,57,344,1576789553,2,0,9,0,0,375,11,41.89046879,-87.70260751,Sacramento Blvd & Franklin Blvd,4
89,43,"Chicago, IL ",Humboldt Park,41.89907520000001,-87.721293,Aug-19,370.0,211,277,57,470,1576799704,6,0,9,0,0,508,15,41.90965688,-87.71663195,Central Park Ave & North Ave,4
90,43,"Chicago, IL ",Humboldt Park,41.89907520000001,-87.721293,Aug-19,370.0,211,277,57,472,1576759083,3,0,8,0,0,510,11,41.90270659,-87.70921957,Spaulding Ave & Division St,4
91,44,"Chicago, IL ",Hyde Park,41.794766499999994,-87.59167529999998,Aug-19,216.0,121,122,55,381,1576804411,4,0,7,0,0,418,11,41.79933626,-87.60095811,Ellis Ave & 53rd St,2
92,44,"Chicago, IL ",Hyde Park,41.794766499999994,-87.59167529999998,Aug-19,216.0,121,122,55,383,1576802689,1,0,18,0,0,420,19,41.79430062,-87.60144977,Ellis Ave & 55th St,2
93,45,"Chicago, IL ",Irving Park,41.9538222,-87.7192875,Aug-19,347.0,212,245,55,442,1576752308,6,0,5,0,0,480,11,41.961040999999994,-87.705866,Albany Ave & Montrose Ave,9
94,45,"Chicago, IL ",Irving Park,41.9538222,-87.7192875,Aug-19,347.0,212,245,55,443,1576799356,6,0,9,0,0,481,15,41.961068,-87.69543900000001,California Ave & Montrose Ave,9
95,45,"Chicago, IL ",Irving Park,41.9538222,-87.7192875,Aug-19,347.0,212,245,55,446,1576799254,6,0,9,0,0,484,15,41.95400484,-87.71912818,Monticello Ave & Irving Park Rd,9
96,45,"Chicago, IL ",Irving Park,41.9538222,-87.7192875,Aug-19,347.0,212,245,55,447,1576792233,9,0,6,0,0,485,15,41.95358618,-87.7093108,Sawyer Ave & Irving Park Rd,9
97,45,"Chicago, IL ",Irving Park,41.9538222,-87.7192875,Aug-19,347.0,212,245,55,449,1576802534,8,0,11,0,0,487,19,41.95216219,-87.69805111,California Ave & Byron St,9
98,45,"Chicago, IL ",Irving Park,41.9538222,-87.7192875,Aug-19,347.0,212,245,55,450,1576802679,6,0,5,0,0,488,11,41.946264,-87.731023,Pulaski Rd & Eddy St (Temp),9
99,45,"Chicago, IL ",Irving Park,41.9538222,-87.7192875,Aug-19,347.0,212,245,55,451,1576800986,2,0,13,0,0,489,15,41.947326000000004,-87.717582,Drake Ave & Addison St,9
100,45,"Chicago, IL ",Irving Park,41.9538222,-87.7192875,Aug-19,347.0,212,245,55,574,1576752064,5,1,9,0,0,630,15,41.961079999999995,-87.73569,Kildare Ave & Montrose Ave,9
